N;Group;art;catonto#1;catonto#2;catframe#1;catframe#2;catframe#3;catframe#GPT;topic;agentive;functional;biological;container;scattered;part/feature;heap;place;abstract (no space-time);iconic;fictionary;autonomous;Interaction;tot TAS-20;Difficulty Describing Feelings;Difficulty Identifying Feeling;Externally-Oriented Thinking;Extraversion; Agreeableness;Conscientiousness;Neuroticism;Openness;Self/Everyday Creativity;Scholarly Creativity;Performance Creativity;Mechanical/Scientific Creativity;Artistic Creativity;Realism;Possibility to act;Quality of interface;Possibility to examine;Self-evaluation of performance;Sounds ;Haptic;tot PQ
31;2;composizione astratta;4;3;4;4;4;4;4;0;0;0;0;1;0;0;0;1;1;1;0;11;51;14;22;15;19;28;27;31;32;34;30;22;12;19;106;38;17;9;13;8;13;8
32;2;composizione astratta;4;3;4;4;4;4;4;0;0;0;0;1;0;0;0;1;1;1;0;11;46;13;16;17;25;38;40;30;33;38;44;25;12;28;125;37;21;13;16;10;17;11
33;2;torre;1;1;1,5;2;1,5;2;1;0;1;0;1;0;0;0;1;0;0;0;0;13;43;12;16;15;30;34;41;30;29;44;31;30;18;28;140;42;23;16;15;12;20;12
34;2;torre;1;1;1,5;2;1,5;2;1;0;1;0;1;0;0;0;1;0;0;0;0;22;61;18;29;14;17;24;30;40;34;34;47;14;18;31;87;22;17;12;11;6;13;6
35;2;sedia;1;2;2;2;2;2;1;0;1;0;0;0;0;0;1;0;0;0;0;13;35;11;10;14;34;34;30;29;35;44;41;40;28;35;103;32;19;18;12;5;10;7
36;2;arco;1;1,7;1;2;1;2,5;2;0;0;0;0;0;0;0;1;0;0;0;0;13;34;9;8;17;28;32;28;28;38;33;33;41;33;33;123;37;19;17;10;13;17;10
37;2;città;1;1;1;1;1;1,5;2;0;1;0;1;1;0;0;1;0;0;0;1;12;39;14;12;13;24;26;23;30;42;48;44;18;9;20;134;34;26;16;17;10;18;13
38;2;torcia;1;2;2;2;2;2;1;0;1;0;0;0;0;0;0;0;0;0;0;14;42;10;12;20;33;37;37;18;41;35;38;41;34;34;134;41;22;16;15;11;18;11
39;2;torre;1;1;1,5;2;1,5;2;1;0;1;0;1;0;0;0;1;0;0;0;0;17;36;10;8;18;25;36;35;18;32;38;38;24;24;28;121;35;22;15;15;9;14;11
40;2;torre;1;1;1,5;2;1,5;2;1;0;1;0;1;0;0;0;1;0;0;0;0;8;52;15;23;14;34;33;36;29;42;41;43;19;30;34;123;36;20;18;17;7;15;10
41;3;gatto;1;1;1;1;1;1;3;1;0;1;0;0;0;0;0;0;0;0;1;15;56;22;19;15;21;25;25;29;32;35;44;36;27;35;26;16;16;9;8;3;9;87
42;3;complesso abitativo;1;1;2;2;2;1,5;1,5;0;1;0;1;1;0;0;1;0;0;0;0;19;48;16;18;14;28;35;28;29;28;41;40;25;18;29;22;13;8;13;4;6;7;73
43;3;serpente;1;1;1;1;1;2;3;1;0;1;0;0;0;0;0;0;0;0;1;19;45;10;14;21;20;33;28;24;25;29;33;29;23;21;36;23;20;18;13;3;12;125
44;3;martello;1;2;2;2;2;2;2;0;1;0;0;0;0;0;0;0;0;0;0;16;41;17;13;11;24;29;26;31;36;41;33;17;26;23;27;16;17;14;10;3;11;98
45;3;composizione astratta;4;3;4;4;4;4;4;0;0;0;0;1;0;0;0;1;1;1;0;19;61;19;21;21;22;34;25;26;25;40;31;24;11;23;37;21;14;15;10;14;10;121
46;3;pinocchio;4;3;2,5;2,5;2,5;3,5;2,5;1;0;1;0;0;0;0;0;0;0;1;1;10;48;19;14;15;18;23;33;27;34;43;44;25;36;33;25;14;16;17;7;4;12;95
47;3;topolino;4;3;2,5;2,5;2,5;2,3;2,5;1;0;1;0;0;0;0;0;0;0;1;1;16;48;11;19;18;23;28;31;31;32;38;37;38;22;38;26;15;20;13;9;21;7;111
48;3;città;1;1;1;1;1;1,5;2;0;1;0;1;1;0;0;1;0;0;0;1;16;36;7;11;18;22;29;24;32;26;34;49;48;22;27;41;23;20;12;11;3;14;124
49;3;composizione astratta;4;3;4;4;4;4;4;0;0;0;0;1;0;0;0;1;1;1;0;17;27;7;11;9;18;27;26;24;33;41;45;25;35;24;40;18;19;15;11;3;11;117
